Target,PacketSize,Mode,IntervalMs,SentOriginal,SentTotal,Received,Retransmitted,ReceivedAfterRetry,Corrupted,PacketLoss
1.1.1.1,512,1,42,50,50,50,0,0,0,
1.1.1.1,512,1,41,50,50,50,0,0,0,
1.1.1.1,512,1,40,50,50,50,0,0,0,
1.1.1.1,512,1,39,50,50,50,0,0,0,
1.1.1.1,512,1,38,50,50,50,0,0,0,
1.1.1.1,512,1,37,50,50,50,0,0,0,
1.1.1.1,512,1,36,50,50,50,0,0,0,
1.1.1.1,512,1,35,50,50,50,0,0,0,
1.1.1.1,512,1,34,50,50,50,0,0,0,
1.1.1.1,512,1,33,50,50,50,0,0,0,
1.1.1.1,512,1,32,50,50,50,0,0,0,
1.1.1.1,512,1,31,50,50,50,0,0,0,
1.1.1.1,512,1,30,50,50,50,0,0,0,
1.1.1.1,512,1,29,50,51,50,1,1,0,
1.1.1.1,512,1,28,50,50,50,0,0,0,
1.1.1.1,512,1,27,50,50,50,0,0,0,
1.1.1.1,512,1,26,50,50,50,0,0,0,
1.1.1.1,512,1,25,50,50,50,0,0,0,
1.1.1.1,512,1,24,50,50,50,0,0,0,
1.1.1.1,512,1,23,50,50,50,0,0,0,
1.1.1.1,512,1,22,50,50,50,0,0,0,
1.1.1.1,512,1,21,50,50,50,0,0,0,
1.1.1.1,512,1,20,50,50,50,0,0,0,
1.1.1.1,512,1,19,50,50,50,0,0,0,
1.1.1.1,512,1,18,50,50,50,0,0,0,
1.1.1.1,512,1,17,50,50,50,0,0,0,
1.1.1.1,512,1,16,50,50,50,0,0,0,
1.1.1.1,512,1,15,50,50,50,0,0,0,
1.1.1.1,512,1,14,50,50,50,0,0,0,
1.1.1.1,512,1,13,50,50,50,0,0,0,
1.1.1.1,512,1,12,50,50,50,0,0,0,
1.1.1.1,512,1,11,50,50,50,0,0,0,
1.1.1.1,512,1,10,50,50,50,0,0,0,
1.1.1.1,512,1,9,50,50,50,0,0,0,
1.1.1.1,512,1,8,50,50,50,0,0,0,
1.1.1.1,512,1,7,50,50,50,0,0,0,
1.1.1.1,512,1,6,50,50,50,0,0,0,
1.1.1.1,512,1,5,50,50,50,0,0,0,
1.1.1.1,512,1,4,50,50,50,0,0,0,
1.1.1.1,512,1,3,50,50,50,0,0,0,
1.1.1.1,512,1,2,50,50,50,0,0,0,
1.1.1.1,512,1,1,50,50,50,0,0,0,
1.1.1.1,512,1,0,50,50,50,0,0,0,
